country,location,latitude,longitude,project_type,sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max,site_depth_bas_min,site_depth_bas_max,site_s_reg,site_sv_a,site_sv_b,site_sv_min,site_sv_max,site_shmax_a,site_shmax_b,site_shmax_min,site_shmax_max,site_shmin_a,site_shmin_b,site_shmin_min,site_shmin_max,site_shmax_dir_min,site_shmax_dir_max,site_p_a,site_p_b,site_p_min,site_p_max,site_T_min,site_T_max,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max,inj_depth_min,inj_depth_max,inj_type,int_start,inj_fluid,inj_T,inj_rate_max,inj_vol_min,inj_vol_max,inj_net_vol_min,inj_net_vol_max,inj_up_p,inj_down_p,seism_onset,seism_time_shift_onset,seism_events,seism_depth_min,seism_depth_max,seism_a_before,seism_b_before,seism_a_during,seism_b_during,seism_a_after,seism_b_after,moment_max,moment_max_type,,moment_max_depth_min,moment_max_depth_max,moment_distance,moment_date,reason,comment,data_sources,projectID
Australia,Cooper Basin (Habanero 4),-27.815,140.755,Geothermal energy,EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,,,,RF,0.0232,0,96.68,,0.0325,0,135.37,,0.0272,0,113.11,,N82E,,0.0186,0,77.33,,250,,,,,10,,,Habanero fault,RF,6,150,1,,0,4157,,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,,4160,,,11/14/2012,,,6.00E-02,3.40E+04,,,,50,,11/14/2012,,"29186, -1.6≤ML≤3",,,,,,1.62,,,3.9,ML,,,5000,,11/9/2012,,Habanero 4 well,"Baisch et al. (2006), Holl and Barton (2013), Baisch et al. (2015), Geoscience Australia Earthquake database, ",11
Australia,Cooper Basin (Jolokia 1),-27.801,140.661,Geothermal energy,EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,,,,RF,0.0232,0,99.05,112.76,0.0325,0,138.69,157.88,0.0272,0,115.88,131.93,N82E,,0.0186,0,79.23,90.2,250,,N244E,,,10,,,Habanero fault,RF,6,150,1,,,,,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,,4262,4852,,10/23/2010,,,1.00E-02,3.80E+02,,,,70,120,10/23/2010,,73,4300,4700,,,,,,,1.6,ML,,,,,1/1/2011,,Well Jolokia 1,"Holl and Barton (2013), Baisch et al. (2015)",12
Australia,Paralana 2 (Diagnostic Fracture Injection Test),-30.194,139.697,Geothermal energy,EGS (injection),,Sediments above basement,,,2681,,,0.1,0.1,3.20E-17,,3.20E-17,25,,25,0.2,,0.2,13.89,,10.42,,0.7,,,,,,,,,,,,,,3880,,SS,0.0263,0,95.71,95.86,0.0352,0,128.09,128.3,0.02,0,72.78,72.9,N101E,,0.0162,0,58.98,59.08,176,,N-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3639,3645,Diagnostic Fracture Injection Test (DFIT),1/1/2011,Water,,5.30E-03,1.40E+03,,,,59,,,,>300,,,,,,,,,1.4,ML,,,,,,,," Albaric et al. (2013), Albaric et al. (2014), Hasting et al. (2011), Riffault et al. (2016), Riffault et al. (2018)",13
Australia,Well Paralana 2,-30.194,139.697,Geothermal energy,EGS (injection),,Sediments above basement,,,2681,,,0.1,0.1,3.20E-17,,3.20E-17,25,,25,0.2,,0.2,13.89,,10.42,,0.7,,,,,,,,,,,,,,3880,,SS,0.0263,0,95.71,95.86,0.0352,0,128.09,128.3,0.02,0,72.78,72.9,N101E,,0.0162,0,58.98,59.08,176,,N-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3639,3645,Stimulation,7/10/2011,Water,,2.70E-02,3.10E+03,,,,62,,7/10/2011,,7085,3745,3845,,,,1.32,,,2.5,Mw,,,3990,,7/13/2011,,Paralana 2 well," Albaric et al. (2013), Albaric et al. (2014), Hasting et al. (2011), Riffault et al. (2016), Riffault et al. (2018)",14
Belgium,Balmatt (MOL-GT-02),51.224,5.11,Geothermal energy,Geothermal (reinjeciton),Lower Carboniferous Limestone Group,limestone,,,,,,,,3.00E-16,,3.00E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,142,NNW-SEE,,,,,,,NF,,,,,,3460,,,,0.1,,9.86E-14,,,,,,,,,,,,,,3300,,Reinjection,12/1/2018,water,,,,,,1.70E+04,11.4,,12/5/2018,,"20, -0.1≤ML≤2.1",3000,10000,,,,,,,2.1,ML,,4000,,,6/23/2019,Plant launched in Decmber 2018 but earthquakes were associated with injeciton test in September 2016,https://seismologie.be/en/seismology/seismicity-in-belgium/online-database,"Broothaers et al. (2019), Erol (2018), Laenen et al. (2020)",15
El Salvador,Berlín (Well TR8A),13.525,-88.509,Geothermal energy,EGS (injection),Berlin Formation,Young volcanic,,,2600,,0.08,0.15,0.12,1.00E-13,1.00E-12,5.50E-13,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,260,300,NNW-SSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,2200,,7/1/2003,Brine,175,1.40E-01,3.00E+05,,,,,,,,,,,,,,,,,4.4,ML,,,1834.9,3000,9/16/2003,,"Well TR8A, Field on volcano flank (last eruption 1878?), goethermal production started in 1992. The largest event occured two weeks after shut-in (Bommer et al., 2006)","Damore and Mejia (1999), Monterrosa and Sa (2002), Bommer et al. (2006), Majer et al. (2007), Rodríguez and Monterossa (2011), Portier et al. (2012), Monterrosa (2012), Kwiatek et al. (2014)",16
Finland,Helsinki,60.188,24.828,Geothermal energy,EGS (Stimulation),Precambrian Svecofennian basement rocks,"granites, pegmatites, gneisses, and amphibolites",,,,,,,,,,,,,,,,,,58.1,,39.2,,,,,,,,,,,,,,,,,SS,0.0295,0,180,,0.0393,0,240,,0.018,0,110,,N110E,N135E,0.0098,0,60,,120,130,NW,NNW,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,5700,6100,Stimulation,6/4/2018,Fresh water,,1.33E-02,1.85E+04,,,1.82E+04,90,,,,"490, with -0.8<ML<1.8",4800,6400,,,,1.35,,,1.8,ML,,,6100,200,7/8/2018,"reactivation of fracture network, not major faults","Focal mechanisms are RF, while optimal regime on pre/existing faults is SS. Major faults are 20 km away from injection. Imjection performed by intervals with inactive periods","Ader et al. (2020), Bentz et al. (2020), Hillers et al. (2020), Kwiatek et al. (2019), Leonhardt et al. (2021)",17
France,"La Wantzenau, Strasbourg",48.662,7.816,Geothermal energy,EGS (Hydraulic test),,Granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,0.0255,-1.3,62.45,113.45,0.023,-1.17,56.21,102.11,0.0141,-1.78,33.45,61.63,N175E,,,,,,200,,N320E,,,,,,Robertsau,,,,,,,,,,,,,,,,,,,9,,,,,,,,2500,4500,Hydraulic test,9/1/2020,,,,,,,,,,9/1/2020,,10 with 2<ML,3000,7000,,,,0.86,,,3.6,MLv,,,,1000,12/4/2020,,"A MLv=3.3 occured three weeks after the shut in. On December 8, 2020, the local authorities ordered a definitive closure of the Geoven site.",Schmittbuhl et al. (2021),18
France,"Rittershoffen, Alsace",48.897,7.939,Geothermal energy,EGS (injection),,Granite and Sandstone,,,2500,2800,0,0.26,0.13,1.00E-20,3.00E-14,1.50E-14,25,80,52.5,0.1,0.38,0.24,10.42,111,11.36,29,0.27,0.45,,,,,,,,,2.3,4.3,,,2200,,SS/NF,0.0255,-1.3,,,0.023,-1.17,,,0.0141,-1.78,,,N155E,,,,,,170,,N10E,N20E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,,,6/1/2013,,,,,,,,,,6/27/2013,,174,2000,4000,,,,,,,1.6,Mlv,,,,,7/2/2013,,"~100 microseismic events in April, GRT1 well","Maurer et al. (2020), Vidal et al. (2016)",19
France,"Robertsau, Strasbourg",48.62,7.8,Geothermal energy,EGS (Hydraulic test),,Granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,0.0255,-1.3,62.45,113.45,0.023,-1.17,56.21,102.11,0.0141,-1.78,33.45,61.63,N175E,,,,,,200,,N15E,,,85,,N105E,Robertsau,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,4500,Hydraulic test,11/2/2019,,,9.72E-02,,,,,,,11/4/2019,2,39,3000,7000,,,,0.97,,,3.1,MLv,,5620,,4600,11/12/2019,,"https://earthquakes.bgs.ac.uk/induced/recent_uk_events.html, Still in the exploration phase","Cabral (2018), Schmittbuhl et al. (2021), Valley and Evans (2007)",20
France,Soultz (GPK-1),48.931,7.867,Geothermal energy,EGS (Stimulation),Palaeozoic granitic basement,Granite,0.45,0.45,2639,2696,0,0,0,8.60E-18,9.60E-16,4.84E-16,40,54,47,,0.26,0.26,13.33,36.73,20,21.51,,,46,,46.6,,140,,24,31,2.3,3.9,,,,,SS/NF,,,71.54,87.85,,,70.46,92.3,,,37.05,45.5,,N170E,,,28.5,35,155,202,N150E,NS,,,,,,,,,,,,,,,,,0.15,1.00E-14,,,,,,,,,,,,,,3000,3500,Massive injection,9/1/1993,,40,3.60E-02,2.30E+04,,,,10,38.1,,,"20000 (downhole network), 165 (surface network)",,,,,,1.7,,,1.9,ML,,,,,1/1/1993,,Earthquake occured 9 days after shutin,"Baisch et al. (2010), Calò et al. (2014), Cornet et al. (1997), Cuenot et al. (2006), Dorbath et al. (2009), Evans (2005),  Evans et al. (2012), Gaucher et al. (2015),  Genter et al. (2010), Kushnir et al. (2018), Lucas et al. (2020), Meller (2014), Meller and Ledésert (2017), Sahara et al. (2016), Sausse et al. (2006), Surma and Geraud (2003), Schoenball (2014), Tenzer et al. (2010), Valley and Evans (2007),  Vidal and Genter (2018), Villeneuve et al. (2018)",21
France,Soultz (GPK-2),48.931,7.867,Geothermal energy,EGS (injection),Palaeozoic granitic basement,Granite,,,2520,2620,0,0.1,0.05,1.00E-16,1.00E-14,5.05E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,0.0255,-1.3,111.69,128.34,0.023,-1.17,100.52,115.51,0.0141,-1.78,60.65,69.85,,N175E,0.0098,-0.9,42.52,48.92,202,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431,5084,Massive injection,6/30/2000,,,5.00E-02,2.20E+04,3.30E+04,,,14.5,,6/30/2000,,"700, 1≤ML≤2.5",4000,5500,,,,1,,,2.4,Mw,,,,,7/16/2000,Fracture shearing,"Well GPK-2, Max earthquake occured 10 days after shut in (Evans et al. (2012)","Baisch et al. (2010), Calò et al. (2014), Cornet et al. (1997), Cuenot et al. (2006), Dorbath et al. (2009), Evans (2005),  Evans et al. (2012), Gaucher et al. (2015),  Genter et al. (2010), Kushnir et al. (2018), Lucas et al. (2020), Majer et al. (2007), Meller (2014), Meller and Ledésert (2017), Sahara et al. (2016), Sausse et al. (2006), Surma and Geraud (2003), Schoenball (2014), Tenzer et al. (2010), Valley and Evans (2007),  Vidal and Genter (2018), Villeneuve et al. (2018)",22
France,Soultz (GPK-2)- restimulation,48.931,7.867,Geothermal energy,EGS (Stimulation),Palaeozoic granitic basement,Granite,,,2520,2620,0,0.1,0.05,1.00E-16,1.00E-14,5.05E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,0.0255,-1.3,111.69,128.34,0.023,-1.17,100.52,115.51,0.0141,-1.78,60.65,69.85,,N175E,0.0098,-0.9,42.52,48.92,202,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431,5084,restimulation,5/1/2003,,,2.00E-02,3.40E+03,,,,7.9,,,,"200, 1≤ML≤2.5",,,,,,1,,,2.9,ML,,,,,1/1/2003,Fracture shearing- Direct pore pressure diffusion can reproduce the spatial and temporal evlution of seismicity. The post-injection earthquake also lies within the growing pore pressure front,Earthquake occured 2 days after shutin,"Baisch et al. (2010), Calò et al. (2014), Cornet et al. (1997), Cuenot et al. (2006), Dorbath et al. (2009), Evans (2005),  Evans et al. (2012), Gaucher et al. (2015),  Genter et al. (2010), Kushnir et al. (2018), Lucas et al. (2020), Meller (2014), Meller and Ledésert (2017), Sahara et al. (2016), Sausse et al. (2006), Surma and Geraud (2003), Schoenball (2014), Tenzer et al. (2010), Valley and Evans (2007),  Vidal and Genter (2018), Villeneuve et al. (2018)",23
France,Soultz (GPK-3),48.931,7.867,Geothermal energy,EGS (injection),Palaeozoic granitic basement,Granite,0.25,0.85,2520,2620,0,0.1,0.05,1.00E-16,1.00E-14,5.05E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,0.0255,-1.3,114.88,126.2,0.023,-1.17,103.39,113.58,0.0141,-1.78,62.41,68.67,,N169E,0.0098,-0.9,43.75,48.1,202,,NS,,,,,,,,25,,,,0,4755,4780,,,,,,,,,,,,,,,,,,,4556,5000,Massive injection,5/27/2003,,,1.50E-02,8.50E+03,,,,7,,5/27/2003,,"240, >32 above 1.2 M",4000,5500,,,,2.1,,,2.3,ML,,,,,1/1/2005,Fault reactivation,Well GPK-3,"Baisch et al. (2010), Calò et al. (2014), Cornet et al. (1997), Cuenot et al. (2006), Dorbath et al. (2009), Evans (2005),  Evans et al. (2012), Gaucher et al. (2015),  Genter et al. (2010), Kushnir et al. (2018), Lucas et al. (2020), Majer et al. (2007), Meller (2014), Meller and Ledésert (2017), Sahara et al. (2016), Sausse et al. (2006), Surma and Geraud (2003), Schoenball (2014), Tenzer et al. (2010), Valley and Evans (2007),  Vidal and Genter (2018), Villeneuve et al. (2018)",24
France,Soultz (GPK-4),48.931,7.867,Geothermal energy,EGS (injection),Palaeozoic granitic basement,Granite,0.25,0.85,2520,2620,0,0.1,0.05,1.00E-16,1.00E-14,5.05E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,SS/NF,0.0255,-1.3,113.45,126.2,0.023,-1.17,102.11,113.58,0.0141,-1.78,61.63,68.67,N169E,N172E,0.0098,-0.9,43.2,48.1,202,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,5000,,9/1/2004,,,4.50E-02,,2.15E+04,,,18.5,,,,"128, 1<Ml<2.7",,,,,,1.3,,,2.7,ML,,,,,2/1/2005,,,"Baisch et al. (2010), Calò et al. (2014), Cornet et al. (1997), Cuenot et al. (2006), Dorbath et al. (2009), Evans (2005),  Evans et al. (2012), Gaucher et al. (2015),  Genter et al. (2010), Kushnir et al. (2018), Lucas et al. (2020), Meller (2014), Meller and Ledésert (2017), Sahara et al. (2016), Sausse et al. (2006), Surma and Geraud (2003), Schoenball (2014), Tenzer et al. (2010), Valley and Evans (2007),  Vidal and Genter (2018), Villeneuve et al. (2018)",25
Germany,Bad Urach,48.507,9.374,Geothermal energy,EGS (injection),,Gneiss,,,2625,,,,,9.00E-18,1.00E-15,5.05E-16,59,69,64,0.26,,0.26,40.14,23,23.51,34.5,,,,,,,,,,,2.7,3.2,,,,,SS,0.0266,0,,114.38,0.033,0,,141.9,0.0144,0,,61.92,N10W,,0.01,0,,43,170,,NS,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,,9/1/2002,,,5.00E-02,5.60E+03,,,,34,,9/1/2002,0.4,"420, -0.6≤MW≤1.8",,,,,,,,,1.8,Mw,,,,500,1/1/2002,Stimulation of the existing fractures,,"Heinemann et al. (1992), Rummel and Klee (1995), Dermott et al. (2005), Tenzer et al. (2010), Stober (2011), Evans et al. (2012)",26
